newspaper,publication_date,page,arrival_date,port_of_origin,date_of_departure_from_port_of_origin,port_and_date_of_call,type_of_ship,ship_flag,name_of_ship,tonnage_of_ship,name_of_captain,cargo_information,consignee_of_cargo,consignee_of_ship,intelligence,raw_text
MAR_SM,1895_1_5,3,Da janvier,BONE,ter janv.,,vap,fr,LA CORSE,6:3 tx,cap. Dor,avec 300 tx div,p. divers,Cie Transatlanti- que,Il a 39 passagers dont 20 militaires.,"BONE, ter janv.: vap. fr. LA CORSE, 6:3 tx. cap. Dor, avec 300 tx div. p. divers; Cie Transatlanti- que. Il a 39 passagers dont 20 militaires."
MAR_SM,1895_1_5,3,Da janvier,CASSIS,3 janv.,,chal,fr,NEPTUNE,67 tx,e. Rival,avec 100 tx charbon,,"nav, et march. M. Talon",,"CASSIS. 3 janv.. chal. fr. NEPTUNE, 67 tx, e. Rival, avec 100 tx charbon: nav, et march. M. Talon"
MAR_SM,1895_1_5,3,Da janvier,DUNKERQUE,23 déc.,,vap,fr,VILLE-DE-LILLE,590 tx,e. Camus,avee 1.200 tx div,p. divers,Cle des Vapeurs du Nord,Passé le détroit le 29 decembre,"DUNKERQUE, 23 déc., vap. fr. VILLE-DE-LILLE, 590 tx. e. Camus, avee 1.200 tx div. p. divers; Cle des Vapeurs du Nord. Passé le détroit le 29 decembre."
MAR_SM,1895_1_5,3,Da janvier,FIUME,28 déc.,"Bari, 30; Messine, 1er janv.; Naples, 2",vap,,aut. ARPAD,712 tx,e. Martinech,avée 250 tx div.,p. divers,nav. à M. Perrella,17 passagers.,"FIUME. 28 déc.; Bari, 30; Messine, 1er janv.; Naples, 2, vap. aut. ARPAD, 712 tx, e. Martinech, avée 250 tx div. p. divers; nav. à M. Perrella, 17 passagers."
MAR_SM,1895_1_5,3,Da janvier,GENES,2 janv.,,vap,ang,OCEAN-PRINCE,"de 1,085 tx",e. James,avec 40 tx div,p. le Transit,nav. à M. Barry,11 a 2 passagers.,"GENES, 2 janv., vap. ang. OCEAN-PRINCE. 1,085 tx, e. James, avec 40 tx div p. le Transit; nav. à M. Barry, 11 a 2 passagers."
MAR_SM,1895_1_5,3,Da janvier,GENES,30 dée.,,tr.-m.,,RIVIERE,481 tx,cap. Vandersi,sur lest,,nav. au capitaine,,"GENES 30 dée.. tr.-m. it. RIVIERE, 481 tx, cap. Vandersi, sur lest; nav. au capitaine."
MAR_SM,1895_1_5,3,Da janvier,GIRGENTI,18 déc.,"Cros St-Georges, 1er janv.",b.-goél.,it.,ACHILLE-R..,$5 tx,e. Tomel,avec 160 tx sontre,à ordre,"nav, au capitaine",,"GIRGENTI, 18 déc.; Cros St-Georges, 1er janv., b.-goél. it. ACHILLE-R.. $5 tx, e. Tomel, avec 160 tx sontre, à ordre; nav, au capitaine."
MAR_SM,1895_1_5,3,Da janvier,LA NOUVELLE,2 janv.,"Cette, 3.",vap,fr,ME- DEAH,230 tx,e. Ramade,avec 110 tx div.,pour divers,Cie Fraissinet,Il a 2 passagers.,"LA NOUVELLE. 2 janv.; Cette, 3. vap. fr. ME- DEAH, 230 tx, e. Ramade, avec 110 tx div. pour divers: Cie Fraissinet. Il a 2 passagers."
MAR_SM,1895_1_5,3,Da janvier,LE PIREE,13 déc,"Salonique, 14: Smyrne, 16; Vathy, 17: Larnaca, 19: Mersina.",vap,,YANG-TSE,1882 tx,e. Huau,avec 998 tx div,p divers,Messageries Maritimes,"11 a 235 tx, dont 3 militaires.","LE PIREE, 13 déc: Salonique, 14: Smyrne, 16; Vathy, 17: Larnaca, 19: Mersina. 20: Alexandret- te. 22 Lattaquié, 22: Tripoli, 23: Beyrouth, 25: Jaffa, 16: Port-Said, 27; Alexandrie, 30, vap. Ir. YANG-TSE, 1882 tx, e. Huau, avec 998 tx div. p divers; Messageries Maritimes. 11 a 235 tx, dont 3 militaires."
MAR_SM,1895_1_5,3,Da janvier,LIVOURNE,janv.,"Bastia, 3.",vap.,fr.,VILLE-DE- BASTIA,de 378 tx,e. Alssandrini,avee 93 tx div.,p. divers,Cie Fraissinet,Il a 91 passagers dont 57 militaires.,"LIVOURNE, janv.; Bastia, 3. vap. fr. VILLE-DE- BASTIA, 378 tx, e. Alssandrini, avee 93 tx div. p. divers; Cie Fraissinet. Il a 91 passagers dont 57 militaires."
MAR_SM,1895_1_5,3,Da janvier,NICE,3 janv.,,vap,fr,LOUIS C.,88 tx,e. Azibert,avec 4 tx div,p. divers,nav. à M. Castaldi,,"NICE, 3 janv., vap. fr. LOUIS C., 88 tx, e. Azibert, avec 4 tx div p. divers; nav. à M. Castaldi"
MAR_SM,1895_1_5,3,Da janvier,ORAN,21 dée,"Carthagène, ter janv.; Port-Vendres, 3; Cette, 4",vap,fr,SAINT-AUGUSTIN,786 tx,e. Aillet,avec 235 tx div,p. divers,Cie Transatlantique,,"ORAN, 21 dée; Carthagène, ter janv.; Port-Ven- dres, 3: Cette, 4, vap. fr. SAINT-AUGUSTIN, 786 tx, e. Aillet, avec 235 tx div. p. divers; Cie Transatlantique."
MAR_SM,1895_1_5,3,Da janvier,ORAN,2 janv.,,vap,,ir. VILLE DE-NAPLES,836 tx,e. Lefrane,223 tx div. p. divers,,Cie Tran- satlantique,63 passagers dont 39 militaires,"ORAN, 2 janv., vap. ir. VILLE DE-NAPLES. 836 tx, e. Lefrane, 223 tx div. p. divers; Cie Tran- satlantique, 63 passagers dont 39 militaires."
MAR_SM,1895_1_5,3,Da janvier,PORT-DE-BOUG,4 jany.,,eut,,JEUNE-AUGUS- TINE,24 tx,e. Queirel,avec 200 tx morue,à la Sécherie de Boue,,,"PORT-DE-BOUG. 4 jany.. eut. fr. JEUNE-AUGUS- TINE, 24 tx, e. Queirel, avec 200 tx morue; cav. et march. à la Sécherie de Boue."
MAR_SM,1895_1_5,3,Da janvier,SAVONE,3 janv.,"La Ciotat, 4.",vap,it,OLBIO,45 tx,e. Causa,"avec 116 füts chinois, 57 s. châtai- gnes",p. divers,,,"SAVONE, 3 janv.; La Ciotat, 4. vap. it, OLBIO, 45 tx, e. Causa, avec 116 füts chinois, 57 s. châtai- gnes, p. divers; na, au capitalne"
MAR_SM,1895_1_5,3,Da janvier,SEVILLE,18 déc.,"Huelva, 21; Cadix, 22; Alge- siras, 22; Malaga, 24: Carthagens, 25: Alicante, 26 Valence, 27: Barcelone, 28: San-Felieu, 31; Cette, 3 janv.",vap,esp,R-LAFFITTE,804 tx,e. Escudero,avec 100 tx div.,p. divers,nav. à M. lains,3 passagers.,"SEVILLE, 18 déc.; Huelva, 21; Cadix, 22; Alge- siras, 22; Malaga, 24: Carthagens, 25: Alicante, 26 Valence, 27: Barcelone, 28: San-Felieu, 31; Cette, 3 janv., vap. esp. R-LAFFITTE, 804 tx, e. Escudero, avec 100 tx div. p. divers, nav. à M. lains, 3 passagers."
MAR_SM,1895_1_6,3,Da 5 janvier.,ALGER,3 janv.,,vap,fr,EEGEND PEREIRE,710 tx,e. Lota,avec 132 tx div,p. divers,Cie Traus- atiantique,"79 passagers, dont 2! militaires.","ALGER, 3 janv.. vap. fr. EEGEND PEREIRE, 710 tx, e. Lota, avec 132 tx div. p. divers; Cie Traus- atiantique; 79 passagers, dont 2! militaires."
MAR_SM,1895_1_6,3,Da 5 janvier.,ALICANTE,14 déc.,"Bandol, 4 janv.",br.-goll,it.,NCOVA SARA,133 tx.,e. Laura,"avec 1,280 heet, vin",à ordre,"nav, au capitaine",,"ALICANTE, 14 déc.; Bandol, 4 janv., br.-goll it. NCOVA SARA. 133 tx. e. Laura, avec 1,280 heet, vin, à ordre; nav, au capitaine,"
MAR_SM,1895_1_6,3,Da 5 janvier.,CETTE,4 janv.,,vap,fr,BLIDAH,265 1x,e. Bar- rau,avec 182 tx div.,p. divers,Cle Fraissinet,1 passager,"CETTE, 4 janv., vap. fr. BLIDAH. 265 1x, e. Bar- rau, avec 182 tx div. p. divers; Cle Fraissinet; 1 passager."
MAR_SM,1895_1_6,3,Da 5 janvier.,ORAN,30 dée.,"Cette, 3 janv.; Saint-Louis-du- lhone, 4",vap.,fr.,VENEZUELA,de 498 1x.,e. Ro sal,avec 200 tx div.,p. divers,Cie Transatlan- tique,,"ORAN, 30 dée.; Cette, 3 janv.; Saint-Louis-du- lhone, 4, vap. fr. VENEZUELA, 498 1x. e. Ro sal, avec 200 tx div. p. divers; Cie Transatlan- tique."
MAR_SM,1895_1_6,3,Da 5 janvier.,SAVONE,24 die.,"La Ciotat, 4 janv.",tart.,it.,NICOLETTA,de 86 1x,e. Pedimonti,avec 165 1x résidas de gaz,à ordre,nav. à M. Crémieux,,"SAVONE, 24 die.; La Ciotat, 4 janv., tart. it. NI- COLETTA, 86 1x, e. Pedimonti, avec 165 1x rési- das de gaz, à ordre; nav. à M. Crémieux."
MAR_SM,1895_1_6,3,Da 5 janvier.,TAGANROG,5 nov.,"Constantinople, 23",tt-m.,grec,PENDE-ADELFI,360 tx,e. Deakakis,avee 600 tx blé,p. M. Vagliano,nav. au capitaine,En quarantaine,"TAGANROG, 5 nov.; Constantinople, 23; Malle, 1: déc., tt-m. grec PENDE-ADELFI. 360 tx, e. Deakakis, avee 600 tx blé p. M. Vagliano; nav. au capitaine.- En quarantaine"
MAR_SM,1895_1_6,3,Da 5 janvier.,ALEXANDRIE,22 dec.,"Jaffa, 23: Caifa, 28",vap,fr,GUADIANA,"de 1,519 tx",c. Merlin,"avec 2,100 tx div",p. divers,Messageries Maritimes,,"ALEXANDRIE, 22 dec.: Jaffa, 23: Caifa, 28 vap. fr. GUADIANA, de 1,519 tx. c. Merlin, avec 2,100 tx div. p. divers; Messageries Maritimes."
MAR_SM,1895_1_6,3,Da 5 janvier.,ALGER,3 janv,,vap,fr,BASTIAIS,de 471 tx,e. Antoni,avee 145 tx div.,p. divers,Cie Mixfe,9 passagers,"ALGER, 3 janv vap. fr. BASTIAIS, de 471 tx, e. Antoni, avee 145 tx div. p. divers; Cie Mixfe: 9 passagers."
MAR_SM,1895_1_6,3,Da 5 janvier.,EUPATORIA,15 dée,"Cavack, 27",vap.,gree,PA- VAGLIANO,de 656 tx,e. Moraitis,"avec 2,000 tx ble",p. M L Dreyfus,nav. à M. Bonnin,,"EUPATORIA. 15 dée; Cavack, 27, vap. gree PA- VAGLIANO, de 656 tx, e. Moraitis, avec 2,000 tx ble p. M L Dreyfus; nav. à M. Bonnin."
MAR_SM,1895_1_6,3,Da 5 janvier.,HAVRE,21 dee,"Saint-Nazaire, 26; Bordeaux, 28",vap,fr,MADAGASCAR,de 1693 tx,e Ceccal- di,"avee 2,500 tx div",p. divers,"nav, à MM. Cail- lol et Pierre","passè le détroit le 1er janvier, 1 passager.","HAVRE, 21 dee; Saint-Nazaire, 26; Bordeaux, 28, vap. fr. MADAGASCAR, de 1693 tx, e Ceccal- di, avee 2,500 tx div. p. divers; nav, à MM. Cail- lol et Pierre passè le détroit le 1er janvier, 1 passager."
MAR_SM,1895_1_6,3,Da 5 janvier.,MANILLE,25 norv.,"Colombo, 7 dée.; Suez, 24; Port-Said",vap,ang,FALLS OF BRACHLINN,"de 2,231 tx",c. Willsou,"avec 5,000 tx div.",p. divers,nav. à M. Worms Josse,en quarantaine.,"MANILLE, 25 norv.: Colombo, 7 dée.: Suez, 24: Port-Said, vap. ang. FALLS OF BRACHLINN. de 2,231 tx, c. Willsou avec 5,000 tx div. p. divers; nav. à M. Worms Josse; en quarantaine."
MAR_SM,1895_1_6,3,Da 5 janvier.,NEW YORK,19 dec.,,vap,alm,BAUMWALL,"1,866 tx",e. Schuldt,"avec 2,000 tx div.",p. divers,nav. à M. Frisch,255 passagers. - Passé le détroit le 2 janvier.,"NEW YORK, 19 dec., vap. alm. BAUMWALL, 1,866 tx, e. Schuldt, avec 2,000 tx div. p. divers; nav. à M. Frisch; 255 passagers. - Passé le détroit le 2 janvier."
MAR_SM,1895_1_6,3,Da 5 janvier.,ODESSA,25 dée,"Cavaek, 27: Messine, 2 janv.",vap,ang,ORIANDA,de 945 tx,c. Jenkins,"1,950 tx bié, orge et divers",p. divers,nav à M. Budd,,"ODESSA, 25 dée; Cavaek, 27: Messine, 2 janv.. vap, ang. ORIANDA, de 945 tx, c. Jenkins, 1,950 tx bié, orge et divers p. divers: nav à M. Budd."
MAR_SM,1895_1_6,3,Da 5 janvier.,PORT-VENORES,5 janv,,vap,fr,ANAIS-C.,de 140 tx,e. Roca,avee 100 tx vin,à ordre,nav. à M. Gastaldi,,"PORT-VENORES, 5 janv: La Nouvelle, 5, vap. fr. ANAIS-C. de 140 tx, e. Roca, avee 100 tx vin à ordre; nav. à M. Gastaldi."
MAR_SM,1895_1_8,3,Du 7 janvier.,ALGER,6 janv.,,vap,fr,MARECHAL-BUGEAUD,de 679 tx,cap. Thuillier,avec 56 tx vin et divers,,Cie Générale Transatlantique,45 passagers dont 4 militaires.,"ALGER, 6 janv., vap. fr. MARECHAL-BUGEAUD, 679 tx, cap. Thuillier, avec 56 tx vin et divers; Cie Générale Transatlantique. 45 passagers dont 4 militaires."
MAR_SM,1895_1_8,3,Du 7 janvier.,ALGER,3 janv.,,vap,fr,LORRAINE,514 tx,cap. Alberti,avec 80 tx div.,p. divers,Société Géné- rale,70 passagers.,"ALGER, 3 janv., vap. fr. LORRAINE, 514 tx, cap. Alberti, avec 80 tx div. p. divers : Société Géné- rale: 70 passagers."
MAR_SM,1895_1_8,3,Du 7 janvier.,ALGER,5 janv.,"BENISAF, 3 janv.",vap,fr,GENERAL-CHANZY,720 tx,e. Lelanchon,avec 187 tx div.,p. divers,Cie Transatlantique,"60 passagers, dont 5 militai","ALGER, 5 janv., vap. fr. GENERAL-CHANZY, 720 tx, e. Lelanchon, avec 187 tx div. p. divers: Cie Transatlantique; 60 passagers, dont 5 militai- BENISAF, 3 janv., vap. fr. AUVERGNE, 906 tx, e. Langrais, avec 1200 minerai, à ordre; Société Générale."
MAR_SM,1895_1_8,3,Du 7 janvier.,BONE,3 janv.,"Philippeville, 4; Bougie, 5",vap,fr,BASTIA,635 tx,e. Poggi,avee 120 tx div.,pour divers,Cie Transatlantique,"24 passagers, dont 20 militaires.","BONE. 3 janv.; Philippeville, 4; Bougie, 5, vap. fr. BASTIA, 635 tx, e. Poggi, avee 120 tx div. pour divers: Cie Transatlantique; 24 passagers, dont 20 militaires."
MAR_SM,1895_1_8,3,Du 7 janvier.,CONSTANTINOPLE,22 dée.,"Rodosto, 28; Salo- nique, 25; Volo, 27; Smyrne, 29; le Pirée, 30",vap,fr,JUNON,de 690 tx,e. Thumin,avec 700 tx div,p. divers,Cie Fraissinet,13 passagers,"CONSTANTINOPLE, 22 dée.; Rodosto, 28; Salo- nique, 25; Volo, 27; Smyrne, 29; le Pirée, 30, vap. fr. JUNON, 690 tx, e. Thumin, avec 700 tx div. p. divers; Cie Fraissinet: 13 passagers."
MAR_SM,1895_1_8,3,Du 7 janvier.,COWES,27 déc.,,yacht,ang,FEDORA,159 tx,e. West,sur lest,,M. Waterford,,"COWES, 27 déc., yacht ang FEDORA, 159 tx, e. West, sur lest; nav. à M. Waterford."
MAR_SM,1895_1_8,3,Du 7 janvier.,GBNES,6 janv.,,vap,fr,DURANCE,283 tx,cap. Groudona,avee 118 tx vin et divers,,Cie Frais- sinet,3 passagers.,"GBNES, 6 janv., vap. fr. DURANCE, 283 tx, cap. Groudona, avee 118 tx vin et divers; Cie Frais- sinet, 3 passagers."
MAR_SM,1895_1_8,3,Du 7 janvier.,NAPLES,", janv.",,vap,fr,ARTOIS,526 tx,cap. Bonnot,sur lest,,Société Générale,106 passa- gers.,"NAPLES, janv., vap. fr. ARTOIS, 526 tx, cap. Bonnot, sur lest; Société Générale; 106 passa- gers."
MAR_SM,1895_1_8,3,Du 7 janvier.,Toulon,6,,vap,fr,MARIE-LOUISE,368 tx,c. Arnaud,avec 81 tx div.,p. divers,Cie Fraissinet,5 passagers.,"NICE, 6 janv.: Toulon, 6, vap. fr. MARIE-LOUISE, 368 tx. c. Arnaud, avec 81 tx div. p. divers; Cie Fraissinet: 5 passagers."
MAR_SM,1895_1_8,3,Du 7 janvier.,NICOLAIEFF,22 déc.,"Odessa, 25; Constantinople, 27: Messine, 2 janv.",vap,russe,PIERRE-REGIER,1092 tx,c. Radonicie,avec 2000 tx blé,p. M. Vagliano,"nav, au cepitaine",,"NICOLAIEFF, 22 déc.; Odessa, 25; Constantinople, 27: Messine, 2 janv., vap. russe PIERRE-REGIER 1092 tx, c. Radonicie, avec 2000 tx blé, p. M. Vagliano; nav, au cepitaine."
MAR_SM,1895_1_8,3,Du 7 janvier.,ORAN,3 janv.,,vap,fr,SYRIA,678 tx,e. Boulenc,"avec 300 tx divers, 14 pores",p. divers,Cie Mixte,5 passagers,"ORAN, 3 janv., vap. fr. SYRIA, 678 tx, e. Boulenc, avec 300 tx divers, 14 pores, p. divers; Cie Mixte, 5 passagers."
MAR_SM,1895_1_8,3,Du 7 janvier.,PORT-DE-BOUC,7 janv.,,chal,fr,S.-E. N 11,153 tx,e. Malespine,avec 300 tx charbon,p. la Cie des Agglomérés,ainsi que le navire,,"PORT-DE-BOUC, 7 janv., chal. fr. S.-E. N 11, 153 tx. e. Malespine, avec 300 tx charbon p. la Cie des Agglomérés, ainsi que le navire."
MAR_SM,1895_1_8,3,Du 7 janvier.,SOUSSE,29 dée.,"Monastier, 29; Mehdia, 29; Stax, 30; Gabès, 31; Djerbah, 31: Tripoli, 1er janv. Malte, 3: Tunis, 4",vap,fr,ISAAC-PEREIRE,767 tx,e Marinetti,avec 180 tx div.,p. divers,Cle Transa lantique,"38 passagers, dout 9 militaires.","SOUSSE, 29 dée.: Monastier, 29; Mehdia, 29; Stax, 30; Gabès, 31; Djerbah, 31: Tripoli, 1er janv. Malte, 3: Tunis, 4, vap fr. ISAAC-PEREIRE, 767 tx, e Marinetti, avec 180 tx div. p. divers; Cle Transa lantique: 38 passagers, dout 9 militaires."
MAR_SM,1895_1_8,3,Du 7 janvier.,TOULON,6 janv.,,chal,fr,MARIA,90 tx,e. Gérard,avec 45 tx divers,p. M. Talon,ainsi que le na- vire,,"TOULON, 6 janv., chal, fr. MARIA, 90 tx, e. Gérard avec 45 tx divers, p. M. Talon, ainsi que le na- vire."
MAR_SM,1895_1_8,3,Du 7 janvier.,TOULON,7 janv.,,vap,fr,GEORGES HENRI,89 tx,e. Nigaglioni,sur lest,,nav. à M. Mouriée,,"TOULON, 7 janv., vap. fr. GEORGES HENRI, 89 tx, e. Nigaglioni, sur lest; nav. à M. Mouriée."
MAR_SM,1895_1_8,3,Du 7 janvier.,TOULON,6 janv.,,chal.,fr.,RIO-TINTO,128 tx,e. Paoli,avec 120 tx div.,p. M. Talon,ainsi que le navire,,"TOULON, 6 janv., chal. fr. RIO-TINTO, 128 tx, e. Paoli, avec 120 tx div. p. M. Talon; ainsi que le navire."
MAR_SM,1895_1_8,3,Du 7 janvier.,TUNIS,29 dée.,"Bizerte, 29; Bone, 30; Philippe- ville, 31; Bougie, 1er janv.; Alger, 4; Port-Vendres, 6; Cette, 6",vap,,VILLE-DE-ROME,844 tx,cap. Dufay,avec 100 tx div.,p. divers,Cie Transatlantique,2 passagers.,"TUNIS, 29 dée.: Bizerte, 29; Bone, 30; Philippe- ville, 31; Bougie, 1er janv.; Alger, 4; Port-Ven- dres, 6; Cette, 6, vap. tr. VILLE-DE-ROME, 844 tx, cap. Dufay, avec 100 tx div. p. divers; Cie Transatlantique: 2 passagers."
MAR_SM,1895_1_8,3,Du 7 janvier.,VENISE,20 déc.,"Bari 24: Brindisi, 24: Gallipoll, 25, Tarente, 26; Catane, 27: Messine, 28; Palerme 31; Trapani, 1er janv.; Cagliari, 2; Livourne, 4; Génes, 6",vap,it,SEGESTA,1157 tx,e. Fardella,avec 100 tx div,p. diverrs,Cie Florio Rubattino,9 passagers,"VENISE, 20 déc.: Bari 24: Brindisi, 24: Gallipoll, 25, Tarente, 26; Catane, 27: Messine, 28; Palerme 31; Trapani, 1er janv.: Cagliari, 2; Livourne, 4; Génes, 6, vap. it. SEGESTA, 1157 tx, e. Fardella, avec 100 tx div. p. diverrs; Cie Florio Rubattino, 9 passagers."
MAR_SM,1895_1_9,3,Du 8 janvier,ALGER,6 janv.,,vap.,fr.,MARECHAL-BUGEAUD,de 679 tx,e. Thuiller,56 tx divers,p. divers,Cie Transatlantique,45 passagers dont 4 militaires.,"ALGER, 6 janv.. vap. fr. MARECHAL-BUGEAUD, de 679 tx, e. Thuiller, 56 tx divers p. divers; Cie Transatlantique. 45 passagers dont 4 militaires."
MAR_SM,1895_1_9,3,Du 8 janvier,AVENZA,26 déc.,,goél,it,MARGHERITA-B.,del 94 tx,e. Berti,118 tx marbre,à ordre,"nav, au capitaine",,"AVENZA, 26 déc., goél. it. MARGHERITA-B., del 94 tx, e. Berti, 118 tx marbre à ordre; nav, au capitaine."
MAR_SM,1895_1_9,3,Du 8 janvier,BENISAFF,3 janv.,,vap,fr,AUVERGNE,de 906 1x,c. Langrais,1200 ix mineral,à ordre,Société Générale,,"BENISAFF, 3 janv., vap. fr. AUVERGNE, de 906 1x. c. Langrais, 1200 ix mineral à ordre; Société Générale."
MAR_SM,1895_1_9,3,Du 8 janvier,BERDIANSKA,13 oct.,"Constantinople, 7 nov.: Cagliari, 3 dée.",tr.-m.,grec,PANAIA-CUPPA,430 tx,.,avee 800 tx blé,à ordre,nav. à M. Lemaitre.,,"BERDIANSKA, 13 oct.; Constantinople, 7 nov.: Cagliari, 3 dée.; tr.-m. grec PANAIA-CUPPA, 430 tx, avee 800 tx blé à ordre; nav. à M. Lemaitre."
MAR_SM,1895_1_9,3,Du 8 janvier,BONE,janv.,,vap,fr,FELIX-TOUACHE,de 764 tx,e. Clere,450 tx divers,p. divers,Cle Mixte,9 passagers,"BONE, janv.: Philippeville, 5, vap. fr. FELIX-TOUACHE. de 764 tx, e. Clere, 450 tx divers p. divers: Cle Mixte. 9 passagers."
MAR_SM,1895_1_9,3,Du 8 janvier,CALCUTTA,11 dée,"Colombo, 20; Aden, 27;1 Suez, 31; Port-Said, 1er janv.",vap,ang,PESHA-WUR,de 2327 tx,e. Gadd,2800 tx divers,p. divers,nav. à MM. Estrine et Cie,24 passagers.,"CALCUTTA, 11 dée; Colombo, 20; Aden, 27;1 Suez, 31; Port-Said, 1er janv., vap. ang. PESHA-WUR, de 2327 tx, e. Gadd, 2800 tx divers p. divers; nav. à MM. Estrine et Cie. 24 passagers."
MAR_SM,1895_1_9,3,Du 8 janvier,POLLONICA,28 dée.,"Livourne, 1er janv.",br,it,EMILIA,de 78 tx,e. Vassalle,150 tx bois à brûler,p M. Mallet,nav. au capitaine.,,"POLLONICA, 28 dée.; Livourne, 1er janv., br. it. EMILIA, de 78 tx, e. Vassalle, 150 tx bois à brûler p M. Mallet; nav. au capitaine."
MAR_SM,1895_1_9,3,Du 8 janvier,GENES,6 janv.,,vap,fr,DURANCE,de 283 tx,e. Grondona,118 tx divers,pour divers,Cle Fraissinet,,"GENES. 6 janv., vap. fr. DURANCE, de 283 tx, e. Grondona, 118 tx divers pour divers; Cle Fraissinet."
MAR_SM,1895_1_9,3,Du 8 janvier,LA CIOTAT,7 janv.,,bat,fr,SAINT-MARIUS,de 23 tx,e. Martino,50 tx pavès,p. M. David,nav. au capitaine,,"LA CIOTAT, 7 janv., bat. fr. SAINT-MARIUS, de 23 tx. e. Martino, 50 tx pavès p. M. David; nav. au capitaine."
MAR_SM,1895_1_9,3,Du 8 janvier,LIVOURNE,6-janv.,"Bastia, 7",vap,fr,CYRNOS,de 390 tx,e. Lacotte,96 tx divers,p. divers,Cie Fraissinet,55 passagers dont 7 militaires.,"LIVOURNE, 6-janv.: Bastia, 7, vap. fr CYRNOS, de 390 tx, e. Lacotte, 96 tx divers p. divers; Cie Fraissinet. 55 passagers dont 7 militaires."
MAR_SM,1895_1_9,3,Du 8 janvier,NAPLES,16 déc.,"Livourne, 24: Cros-St-Georges, 7 janv.",tart.,it.,ROSA,72 tx.,e. Puccinelli,avec 120 tx terre minérale,à ordre;,nav. à M. Crémieux.,,"NAPLES, 16 déc.; Livourne, 24: Cros-St-Georges, 7 janv., tart. it. ROSA, 72 tx. e. Puccinelli, avec 120 tx terre minérale à ordre; nav. à M. Crémieux."
MAR_SM,1895_1_9,3,Du 8 janvier,NAPLES,6 janv.,,vap,fr,GYPTIS,de 643 tx,cap. Paranque,121 tx divers,p. divers,Cie Fraissinet,56 passagers,"NAPLES, 6 janv., vap. fr. GYPTIS, de 643 tx, cap. Paranque, 121 tx divers p. divers; Cie Fraissinet. 56 passagers."
MAR_SM,1895_1_9,3,Du 8 janvier,ORAN,4 janv.,,vap,fr.,TOURAINE,de 527 tx,e. Hot,"28 tx divers, 570 moutons et 155 pores",pour divers Société Générale,,3 passagers,"ORAN, 4 janv., vap fr. TOURAINE, de 527 tx, e. Hot, 28 tx divers, 570 moutons et 155 pores pour divers Société Générale. 3 passagers."
MAR_SM,1895_1_9,3,Du 8 janvier,PALMA,29 dée.,"Mahon, 3 janv.",vap.,ang.,SAINT-GEORGE,de 315 tx,e. Tutten,sur lest,,"nav, à M. Wythes",,"PALMA, 29 dée.: Mahon, 3 janv.. yacht à vap. ang. SAINT-GEORGE. de 315 tx, e. Tutten, sur lest; nav, à M. Wythes."
MAR_SM,1895_1_9,3,Du 8 janvier,PHILIPPEVILLE,4 janv.,"Bone, 5: Ajaccio, 7",vap,fr,AFRIQUE,de 631 tx,cap. Cayol,169 tx divers,p. divers,Cie Transatlantique,41 passagers dont 3 militaires,"PHILIPPEVILLE, 4 janv.: Bone, 5: Ajaccio, 7, vap. fr. AFRIQUE de 631 tx, cap. Cayol, 169 tx divers p. divers; Cie Transatlantique. 41 passagers dont 3 militaires."
MAR_SM,1895_1_9,3,Du 8 janvier,PHILIPPEVILLE,6 janv.,,vap,fr,LA CORSE,de 623 tx,cap. Dor,135 tx divers,p. divers,Cie Transatlantique,35 passagers dont 17 militaires.,"PHILIPPEVILLE, 6 janv., vap. fr. LA CORSE, de 623 tx, cap. Dor, 135 tx divers p. divers: Cie Transatlantique 35 passagers dont 17 militaires."
MAR_SM,1895_1_9,3,Du 8 janvier,POINTE-A-PITRE,13 nov.,,bk,fr,DIEUDONNE,237 tx,c. Cannevet,avee 240 tx campêche et cacao,p. M. Lieutand de Toppia,ainsi que le navire,détroit le 27 décembre.,"POINTE-A-PITRE. 13 nov., bk fr. DIEUDONNE, 237 tx, c. Cannevet, avee 240 tx campêche et cacao p. M. Lieutand de Toppia, ainsi que le navire détroit le 27 décembre."
MAR_SM,1895_1_9,3,Du 8 janvier,PORT DE-BOUC,7 janv.,,chal.,fr.,N. 11.,de 153 tx,e. Malaspina,300 tx charbon,pour la Cle des Agglomérés,ainsi que le navire,,"PORT DE-BOUC, 7 janv., chal. fr. N. 11. de 153 tx, e. Malaspina, 300 tx charbon pour la Cle des Agglomérés, ainsi que le navire."
MAR_SM,1895_1_9,3,Du 8 janvier,SAINT-LOUIS-DU-RHONE,7 janv.,,chal.,fr.,N. 7,de 259 tx,e. Brunel,100 tx divers,p. divers,Cie Lyonnaise,,"SAINT-LOUIS-DU-RHONE, 7 janv., chal. fr. N. 7, de 259 tx, e. Brunel, 100 tx divers p. divers; Cie Lyonnaise."
MAR_SM,1895_1_9,3,Du 8 janvier,SAINT-LOUIS-DU-RHONE,7 janv.,,chal,fr,MARIN,de 179 tx,c. Garcia,150 tx divers,p. divers,Cie Lyonnaise,,"SAINT-LOUIS-DU-RHONE, 7 janv., chal fr. MARIN, de 179 tx, c. Garcia, 150 tx divers p. divers; Cie Lyonnaise,"
